C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
71,0,0,4546.111321933778,12760.35318406803,12748.297349490344,10471.52164797973,7226.480383004678,5103.0068473911015
72,0,0,4296.957534576707,12647.310380700865,12815.248114652275,10544.914887280127,7273.574965142318,5115.326028747226
73,0,0,4045.79083345733,12526.83933427148,12889.244221940253,10619.155678344405,7322.007787120693,5128.001696908558
74,0,0,3792.5230615963574,12410.692913426532,12958.421764810086,10693.686630771113,7378.741111443454,5141.039207332312
75,0,0,3540.930514977385,12290.81704460852,13023.201401528648,10766.851314169133,7438.5263643002045,5154.4440574632235
76,0,0,3289.536109268511,12164.5112061798,13086.54964185451,10844.40831118955,7499.900878403109,5168.221891760607
77,0,0,3037.267377121874,12032.114191968793,13150.497049057754,10923.044845937195,7560.438312221008,5182.378502006523
78,0,0,2786.61536093804,11895.2221056996,13210.685948445775,11000.72073150324,7624.8529207282745,5196.9198282412935
79,0,0,2539.0796807632805,11761.23568957029,13276.436712735029,11079.360192851285,7690.666740575354,5211.851959855069
80,0,0,2291.7983690884457,11619.580328199017,13364.493640861914,11161.550430884046,7757.735934512675,5227.181136667044
81,0,0,2049.4026192189303,11476.99071206191,13446.472536912672,11238.995652078154,7826.048772839099,5242.913749999943
82,0,0,1811.1929869162002,11329.03754535695,13520.152255230994,11331.634022325508,7895.860258259848,5259.056343757328
83,0,0,1573.6873040275595,11171.174420739317,13591.208336191934,11422.882573010207,7967.681861172851,5275.615615510857
84,0,0,1337.9366737961957,11007.264857481214,13661.731595251344,11508.476508015432,8041.25348103911,5292.598546915061
85,0,0,1106.5945908597912,10840.789668435908,13740.212091685402,11590.799015791017,8115.9840990743005,5310.011897871007
86,0,0,876.9965321756297,10672.246239029948,13837.489040831091,11674.360344571542,8191.995967171117,5327.862953380978
87,0,0,652.4359017327105,10500.155223346006,13924.661374263398,11756.071052802077,8269.382446229563,5346.159037041017
88,0,0,425.51381159325143,10328.885220579325,13993.961056777673,11834.660886428534,8344.478630864778,5364.907631940231
89,0,0,197.98269700716384,10156.184111594106,14051.418861796556,11913.069612953757,8427.515875567487,5384.116381947113
90,0,0,0,9981.325692167627,14132.388488972405,11990.799483228593,8511.853697287015,5403.793093050422
91,0,0,0,9806.648523464064,14229.811549107391,12068.044011416134,8594.313714307475,5423.9457347604175
92,0,0,0,9630.781746848965,14316.636983523385,12147.108423925272,8675.931745817355,5444.628163960483
93,0,0,0,9451.15963282933,14386.602253892612,12224.688544624227,8757.640806747648,5467.394243701561
94,0,0,0,9266.89903181083,14482.874439277632,12298.69514204159,8838.29713221504,5490.737956673588
