C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
141,0,0,0,472995.6858583202,1652232.3085359149,2626358.9082140396,3304242.7606856846,3501600.358890125
142,0,0,0,452793.5449034805,1649660.6348851076,2638417.2289474565,3328579.333140929,3526537.3569186525
143,0,0,0,432947.3948665581,1651548.2925211345,2649582.8398460555,3352585.3823539843,3551735.1523850034
144,0,0,0,413428.79216061847,1652055.4979147653,2659797.457988326,3376991.430020502,3577159.2136938437
145,0,0,0,395382.21089485416,1650477.30509174,2673759.2266656123,3401375.5316132302,3602854.2477356624
146,0,0,0,377821.59829498624,1649642.9428836005,2687644.9038895206,3425679.7882071645,3628824.5483294562
147,0,0,0,360310.58484745765,1648292.1640839458,2701397.74878013,3450518.333143525,3655074.5484359073
148,0,0,0,340760.10761826654,1646414.620981938,2715643.174243645,3475011.6206866945,3681608.8254138124
149,0,0,0,319268.2336738696,1643402.253647322,2730418.9272599993,3499558.6069572913,3708432.1066444763
150,0,0,0,298159.95489766693,1639686.6807737025,2745024.522091256,3524478.530835429,3735549.27540459
151,0,0,0,276896.8379906314,1636203.6637319466,2759132.960685562,3551894.9105996643,3762965.3770307074
152,0,0,0,255197.05019622366,1632085.9801085663,2773309.130448164,3578911.946283696,3793437.2317186776
153,0,0,0,232674.8584157252,1627736.4855926652,2787421.462551719,3605409.3931828025,3824954.272308503
154,0,0,0,209668.9481094412,1622868.1411923303,2799251.432379381,3631832.014006386,3856829.820746504
155,0,0,0,0.0,1617707.0071950906,2809123.092389604,3657773.8496460184,3889070.690877567
156,0,0,0,0,1610649.4118549705,2818628.6500315433,3680646.5731179193,3921683.933234041
157,0,0,0,0,1602396.7709589032,2826963.7907366697,3703630.7022351925,3954676.847566449
