C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
67,0,0,406296.03998524643,706956.8122338946,1078541.1663208804,1459792.635218477,1647822.4141147276,1952411.3895622552
68,0,0,399984.6423472686,735901.9403458035,1077036.7762611527,1464516.095141223,1653164.5582158973,1956745.9603607587
69,0,0,393705.16981113073,740585.7894005561,1075456.618625759,1469246.4396758382,1658572.5732159985,1961146.9053754972
70,0,0,387052.6871321558,744590.4632740106,1073799.3369339728,1473983.1588055594,1664046.5820912118,1965614.060286407
71,0,0,379637.9078194312,749152.5084597372,1072594.3979485866,1478725.7509624704,1669586.7114065604,1970147.2646087192
72,0,0,372088.9688499188,753454.3569254081,1071558.1342271178,1483473.723077109,1675370.5243739493,1974746.3622608902
73,0,0,364636.65748820256,757343.2691793601,1070670.9834622808,1488226.5906414166,1682622.5227734656,1979411.2021056572
74,0,0,356807.864490846,761198.6381462357,1069756.2197003395,1492983.8777847574,1689945.3364223673,1984141.6384662027
75,0,0,348658.07516787364,764983.387725642,1070152.9116801114,1497745.1173627619,1697339.182889079,1988937.5316193427
76,0,0,340329.7843245666,768795.079517884,1070181.9462910816,1502509.851058754,1704804.2932634633,1993798.7482674841
77,0,0,332031.0099596099,772489.541739386,1070115.844660604,1507277.6294975441,1712340.9126298658,1998725.1619910384
78,0,0,323706.9630266661,775994.2564088395,1070772.2138973884,1512048.0123713545,1719949.3004381852,2003716.653682849
79,0,0,315233.97628859023,779559.0464502177,1071830.8858096038,1516820.568577718,1729571.7645717438,2008773.1119661154
80,0,0,306511.4479708466,783413.9352891432,1075399.836962974,1521594.8763691548,1739418.8204699645,2013894.4335971947
81,0,0,297527.12230780633,786934.5268708834,1078539.7128943927,1526370.5235144964,1749329.8319523956,2019080.5238546124
82,0,0,288396.7913962336,787999.0721543168,1081591.5188665336,1531147.107471726,1759305.0509076247,2024331.2969155079
83,0,0,279259.80222181766,788026.0660234736,1084426.9939934511,1535924.2355722398,1769344.7463976082,2029646.6762206992
84,0,0,270044.6274795229,788034.3782482048,1088369.180540029,1540701.5252164577,1779449.2019502437,2035026.5948294727
85,0,0,260553.57507378224,788164.0399064419,1094097.7314285114,1545478.60408074,1789618.7189682047,2040470.9957651591
86,0,0,250442.184653065,788065.6695926107,1098846.5426035912,1550255.1103355854,1799853.6159221772,2045979.8323525055
87,0,0,239537.456383636,787928.1844298532,1103590.688513974,1555030.692875128,1810154.2286405482,2051553.0685477813
88,0,0,227565.30798268333,787149.9852554486,1107781.2177367054,1559805.0115579641,1820520.910621704,2057190.6792625552
89,0,0,215486.55433423637,785772.9787680667,1112245.2398592404,1564577.7374593816,1830954.0333686902,2062892.6506819979
90,0,0,203151.9191245588,784220.3430342136,1116476.6880824585,1569348.5531350817,1841453.9867460183,2068658.9805785583
91,0,0,190532.12974750294,781845.68588558,1120921.2884345176,1574117.1528965177,1852021.179358518,2074537.564570555
92,0,0,177352.08735820002,778477.993482242,1125760.3374262676,1578883.24309801,1862656.0389521192,2080865.4563020684
93,0,0,164115.858411438,775671.9293903924,1129891.3938938174,1583646.5424358118,1873359.0128365757,2087348.1484986732
94,0,0,150557.29545426334,772674.198924662,1136899.59776999,1588406.7822593474,1884130.5683301426,2093974.8256055752
95,0,0,136377.90859633425,769482.0822479019,1142983.235863948,1593163.7068948604,1894971.1932263111,2100699.602664333
96,0,0,121947.49124167566,765448.4007960286,1148782.9120220914,1597906.3010129961,1905881.3962827525,2107602.2346064053
97,0,0,107578.40151263308,760416.7289981772,1155885.5768474417,1602621.8076867552,1916861.707732668,2114982.070748196
98,0,0,93207.33040475241,755411.1367559205,1161927.7890473101,1607330.8622131343,1927912.6798188076,2122470.166996381
99,0,0,79028.07953237997,750187.5841015964,1167765.8178033347,1612033.2168907495,1939030.9132832205,2130047.8153964346
100,0,0,64715.69499839469,744747.3699534684,1173122.7309185688,1616720.9785228255,1950210.749834302,2137710.4497419596
101,0,0,49991.022675132015,739791.2746650046,1178076.3692869013,1621379.2051025627,1961454.9241454399,2145656.6299234023
102,0,0,34827.903767477605,734644.8868687429,1182900.0869933332,1626027.9044745548,1972769.8803745538,2154221.080461702
103,0,0,19227.027894259925,728577.3620544894,1187565.2785573404,1630666.7904562333,1984155.964971401,2163000.795040737
104,0,0,0.0,722567.1647328326,1192209.7351559964,1635295.59124713,1995613.8589351783,2172765.583081104
105,0,0,0,715852.7844066495,1196462.0061876515,1639914.0498471388,2007144.1661944687,2182635.5204054657
106,0,0,0,708188.4937048971,1200507.2522935243,1644521.924473858,2018747.5158449493,2192611.251107208
107,0,0,0,700618.8272722496,1204341.3134810966,1649118.9890036434,2030424.5628702606,2202693.4202018892
108,0,0,0,692917.7955546572,1207754.2589997377,1654542.7996472334,2042175.9888882965,2212882.699440224
109,0,0,0,685413.8812097026,1210718.465836067,1659810.2632538285,2054002.5029246996,2224163.7274116795
110,0,0,0,677320.4502822828,1213075.961789557,1665266.2406686982,2065904.8422146253,2235951.0727534695
111,0,0,0,668789.2075953169,1215403.5023678825,1670933.9533765947,2077881.8303587337,2247858.536843962
112,0,0,0,660144.7730400192,1217547.916898782,1676520.8621925258,2089918.8320647136,2259887.079069629
113,0,0,0,650276.884085091,1219509.8216782804,1682912.7737636282,2102032.3570983754,2272037.6871985053
114,0,0,0,639806.3334033198,1221506.6552133486,1689566.9241857172,2114223.199250464,2284309.5876189084
115,0,0,0,629154.2215490568,1223623.6608188672,1696149.8833498105,2126492.184020713,2296704.4202063787
116,0,0,0,618358.0846666199,1225995.3643284536,1702811.7273745637,2138840.1696002083,2309223.931146771
117,0,0,0,607428.5988764877,1304798.7908887016,1709537.5287712428,2151268.0478953915,2321869.1921465904
118,0,0,0,596463.701273422,1313437.9411136801,1716145.8803891172,2163797.9252348347,2334641.3068159483
